,Measures Filter,Date of Last Report ,Cumulative Incidence (c),Country or Subregion,Deaths,EW,Imported,Confirmed,Last_Report,Last Epidemiological Week Reported (a),Total Cases (b),Year,Population x 1000,New_EW
17,15.0,1/2/2016,0.01,Brazil,0.0,2.0,0,9,1/2/2016,1,15,2015.0,203657.0,1.0
62,26.0,1/2/2016,0.01,Brazil,0.0,3.0,0,15,1/2/2016,2,26,2015.0,203657.0,2.0
107,42.0,1/2/2016,0.02,Brazil,0.0,4.0,0,20,1/2/2016,3,42,2015.0,203657.0,3.0
154,58.0,1/2/2016,0.03,Brazil,0.0,5.0,0,30,1/2/2016,4,58,2015.0,203657.0,4.0
199,86.0,1/2/2016,0.04,Brazil,0.0,6.0,0,44,1/2/2016,5,86,2015.0,203657.0,5.0
244,104.0,1/2/2016,0.05,Brazil,0.0,7.0,0,51,1/2/2016,6,104,2015.0,203657.0,6.0
289,124.0,1/2/2016,0.06,Brazil,0.0,8.0,0,57,1/2/2016,7,124,2015.0,203657.0,7.0
333,134.0,1/2/2016,0.07,Brazil,0.0,9.0,0,60,1/2/2016,8,134,2015.0,203657.0,8.0
378,149.0,1/2/2016,0.07,Brazil,0.0,10.0,0,63,1/2/2016,9,149,2015.0,203657.0,9.0
423,171.0,1/2/2016,0.08,Brazil,0.0,11.0,0,78,1/2/2016,10,171,2015.0,203657.0,10.0
468,223.0,1/2/2016,0.11,Brazil,0.0,12.0,0,94,1/2/2016,11,223,2015.0,203657.0,11.0
514,337.0,1/2/2016,0.17,Brazil,0.0,13.0,0,107,1/2/2016,12,337,2015.0,203657.0,12.0
559,491.0,1/2/2016,0.24,Brazil,0.0,14.0,0,118,1/2/2016,13,491,2015.0,203657.0,13.0
604,664.0,1/2/2016,0.33,Brazil,0.0,15.0,0,130,1/2/2016,14,664,2015.0,203657.0,14.0
649,977.0,1/2/2016,0.48,Brazil,0.0,16.0,0,143,1/2/2016,15,977,2015.0,203657.0,15.0
693,1428.0,1/2/2016,0.7,Brazil,0.0,17.0,0,157,1/2/2016,16,"1,428",2015.0,203657.0,16.0
737,1844.0,1/2/2016,0.91,Brazil,0.0,18.0,0,186,1/2/2016,17,"1,844",2015.0,203657.0,17.0
782,2581.0,1/2/2016,1.27,Brazil,0.0,19.0,0,258,1/2/2016,18,"2,581",2015.0,203657.0,18.0
827,3435.0,1/2/2016,1.69,Brazil,0.0,20.0,0,351,1/2/2016,19,"3,435",2015.0,203657.0,19.0
873,4542.0,1/2/2016,2.23,Brazil,0.0,21.0,0,514,1/2/2016,20,"4,542",2015.0,203657.0,20.0
918,5652.0,1/2/2016,2.78,Brazil,0.0,22.0,0,657,1/2/2016,21,"5,652",2015.0,203657.0,21.0
946,6896.0,1/2/2016,3.39,Brazil,0.0,23.0,0,831,1/2/2016,22,"6,896",2015.0,203657.0,22.0
991,8130.0,1/2/2016,3.99,Brazil,0.0,24.0,0,"1,108",1/2/2016,23,"8,130",2015.0,203657.0,23.0
1036,9509.0,1/2/2016,4.67,Brazil,0.0,25.0,0,"1,434",1/2/2016,24,"9,509",2015.0,203657.0,24.0
1081,10844.0,1/2/2016,5.32,Brazil,0.0,26.0,0,"1,590",1/2/2016,25,"10,844",2015.0,203657.0,25.0
1126,12533.0,1/2/2016,6.15,Brazil,0.0,27.0,0,"1,847",1/2/2016,26,"12,533",2015.0,203657.0,26.0
1171,15053.0,1/2/2016,7.39,Brazil,0.0,28.0,0,"2,172",1/2/2016,27,"15,053",2015.0,203657.0,27.0
1216,18056.0,1/2/2016,8.87,Brazil,0.0,29.0,0,"2,554",1/2/2016,28,"18,056",2015.0,203657.0,28.0
1262,20660.0,1/2/2016,10.14,Brazil,0.0,30.0,0,"2,885",1/2/2016,29,"20,660",2015.0,203657.0,29.0
1307,22748.0,1/2/2016,11.17,Brazil,0.0,31.0,0,"3,126",1/2/2016,30,"22,748",2015.0,203657.0,30.0
1352,24484.0,1/2/2016,12.02,Brazil,0.0,32.0,0,"3,319",1/2/2016,31,"24,484",2015.0,203657.0,31.0
1397,25777.0,1/2/2016,12.66,Brazil,0.0,33.0,0,"3,512",1/2/2016,32,"25,777",2015.0,203657.0,32.0
1442,26825.0,1/2/2016,13.17,Brazil,0.0,34.0,0,"3,635",1/2/2016,33,"26,825",2015.0,203657.0,33.0
1487,27659.0,1/2/2016,13.58,Brazil,0.0,35.0,0,"3,753",1/2/2016,34,"27,659",2015.0,203657.0,34.0
1532,28283.0,1/2/2016,13.89,Brazil,0.0,36.0,0,"3,852",1/2/2016,35,"28,283",2015.0,203657.0,35.0
1596,28903.0,1/2/2016,14.19,Brazil,0.0,37.0,0,"3,923",1/2/2016,36,"28,903",2015.0,203657.0,36.0
1641,29480.0,1/2/2016,14.48,Brazil,0.0,38.0,0,"4,016",1/2/2016,37,"29,480",2015.0,203657.0,37.0
1686,29998.0,1/2/2016,14.73,Brazil,0.0,39.0,0,"4,095",1/2/2016,38,"29,998",2015.0,203657.0,38.0
1731,30530.0,1/2/2016,14.99,Brazil,0.0,40.0,0,"4,193",1/2/2016,39,"30,530",2015.0,203657.0,39.0
1776,31010.0,1/2/2016,15.23,Brazil,0.0,41.0,0,"4,261",1/2/2016,40,"31,010",2015.0,203657.0,40.0
1821,31482.0,1/2/2016,15.46,Brazil,0.0,42.0,0,"4,352",1/2/2016,41,"31,482",2015.0,203657.0,41.0
1866,31968.0,1/2/2016,15.7,Brazil,0.0,43.0,0,"4,499",1/2/2016,42,"31,968",2015.0,203657.0,42.0
1911,32544.0,1/2/2016,15.98,Brazil,0.0,44.0,0,"4,689",1/2/2016,43,"32,544",2015.0,203657.0,43.0
1956,33240.0,1/2/2016,16.32,Brazil,0.0,45.0,0,"4,962",1/2/2016,44,"33,240",2015.0,203657.0,44.0
2001,34108.0,1/2/2016,16.75,Brazil,0.0,46.0,0,"5,240",1/2/2016,45,"34,108",2015.0,203657.0,45.0
2046,35427.0,1/2/2016,17.4,Brazil,0.0,47.0,0,"5,731",1/2/2016,46,"35,427",2015.0,203657.0,46.0
2091,37714.0,1/2/2016,18.52,Brazil,0.0,48.0,0,"6,793",1/2/2016,47,"37,714",2015.0,203657.0,47.0
2136,41865.0,1/2/2016,20.56,Brazil,0.0,49.0,0,"8,902",1/2/2016,48,"41,865",2015.0,203657.0,48.0
2181,46665.0,1/2/2016,22.91,Brazil,0.0,50.0,0,"11,474",1/2/2016,49,"46,665",2015.0,203657.0,49.0
2226,50954.0,1/2/2016,25.02,Brazil,0.0,51.0,0,"14,218",1/2/2016,50,"50,954",2015.0,203657.0,50.0
2271,54587.0,1/2/2016,26.8,Brazil,0.0,52.0,0,"16,743",1/2/2016,51,"54,587",2015.0,203657.0,51.0
2316,56159.0,1/2/2016,27.58,Brazil,0.0,53.0,0,"17,825",1/2/2016,52,"56,159",2015.0,203657.0,52.0
2361,56159.0,1/2/2016,27.58,Brazil,0.0,54.0,0,"17,825",1/2/2016,52,"56,159",2015.0,203657.0,53.0
2399,8740.0,12/31/2016,4.17,Brazil,,2.0,,"4,504",12/31/2016,1,"8,740",2016.0,209568.0,54.0
2449,17658.0,12/31/2016,8.43,Brazil,,3.0,,"9,098",12/31/2016,2,"17,658",2016.0,209568.0,55.0
2498,27701.0,12/31/2016,13.22,Brazil,,4.0,,"13,854",12/31/2016,3,"27,701",2016.0,209568.0,56.0
2547,38650.0,12/31/2016,18.44,Brazil,,5.0,,"19,027",12/31/2016,4,"38,650",2016.0,209568.0,57.0
2596,52069.0,12/31/2016,24.85,Brazil,,6.0,,"25,545",12/31/2016,5,"52,069",2016.0,209568.0,58.0
2645,67806.0,12/31/2016,32.36,Brazil,,7.0,,"33,102",12/31/2016,6,"67,806",2016.0,209568.0,59.0
2694,89805.0,12/31/2016,42.85,Brazil,,8.0,,"43,539",12/31/2016,7,"89,805",2016.0,209568.0,60.0
2742,111255.0,12/31/2016,53.09,Brazil,,9.0,,"53,403",12/31/2016,8,"111,255",2016.0,209568.0,61.0
2792,132063.0,12/31/2016,63.02,Brazil,,10.0,,"63,055",12/31/2016,9,"132,063",2016.0,209568.0,62.0
2846,150204.0,12/31/2016,71.67,Brazil,,11.0,,"71,541",12/31/2016,10,"150,204",2016.0,209568.0,63.0
2896,166369.0,12/31/2016,79.39,Brazil,,12.0,,"79,073",12/31/2016,11,"166,369",2016.0,209568.0,64.0
2945,179706.0,12/31/2016,85.75,Brazil,,13.0,,"85,289",12/31/2016,12,"179,706",2016.0,209568.0,65.0
2994,192799.0,12/31/2016,92,Brazil,,14.0,,"91,495",12/31/2016,13,"192,799",2016.0,209568.0,66.0
3043,204481.0,12/31/2016,97.57,Brazil,,15.0,,"97,035",12/31/2016,14,"204,481",2016.0,209568.0,67.0
3092,214857.0,12/31/2016,102.52,Brazil,,16.0,,"102,131",12/31/2016,15,"214,857",2016.0,209568.0,68.0
3140,223539.0,12/31/2016,106.67,Brazil,,17.0,,"106,609",12/31/2016,16,"223,539",2016.0,209568.0,69.0
3189,231160.0,12/31/2016,110.3,Brazil,,18.0,,"110,417",12/31/2016,17,"231,160",2016.0,209568.0,70.0
3238,237507.0,12/31/2016,113.33,Brazil,,19.0,,"113,437",12/31/2016,18,"237,507",2016.0,209568.0,71.0
3287,242608.0,12/31/2016,115.77,Brazil,,20.0,,"116,008",12/31/2016,19,"242,608",2016.0,209568.0,72.0
3337,246779.0,12/31/2016,117.76,Brazil,,21.0,,"117,886",12/31/2016,20,"246,779",2016.0,209568.0,73.0
3386,249813.0,12/31/2016,119.2,Brazil,,22.0,,"119,282",12/31/2016,21,"249,813",2016.0,209568.0,74.0
3416,252760.0,12/31/2016,120.61,Brazil,,23.0,,"120,586",12/31/2016,22,"252,760",2016.0,209568.0,75.0
3465,255296.0,12/31/2016,121.82,Brazil,,24.0,,"121,689",12/31/2016,23,"255,296",2016.0,209568.0,76.0
3514,257216.0,12/31/2016,122.74,Brazil,,25.0,,"122,472",12/31/2016,24,"257,216",2016.0,209568.0,77.0
3563,258777.0,12/31/2016,123.48,Brazil,,26.0,,"123,140",12/31/2016,25,"258,777",2016.0,209568.0,78.0
3612,260104.0,12/31/2016,124.11,Brazil,,27.0,,"123,716",12/31/2016,26,"260,104",2016.0,209568.0,79.0
3661,261268.0,12/31/2016,124.67,Brazil,,28.0,,"124,214",12/31/2016,27,"261,268",2016.0,209568.0,80.0
3709,262269.0,12/31/2016,125.15,Brazil,,29.0,,"124,649",12/31/2016,28,"262,269",2016.0,209568.0,81.0
3760,263205.0,12/31/2016,125.59,Brazil,,30.0,,"125,015",12/31/2016,29,"263,205",2016.0,209568.0,82.0
3809,263958.0,12/31/2016,125.95,Brazil,,31.0,,"125,290",12/31/2016,30,"263,958",2016.0,209568.0,83.0
3858,264711.0,12/31/2016,126.31,Brazil,,32.0,,"125,564",12/31/2016,31,"264,711",2016.0,209568.0,84.0
3907,265414.0,12/31/2016,126.65,Brazil,,33.0,,"125,837",12/31/2016,32,"265,414",2016.0,209568.0,85.0
3956,266020.0,12/31/2016,126.94,Brazil,,34.0,,"126,075",12/31/2016,33,"266,020",2016.0,209568.0,86.0
4005,266518.0,12/31/2016,127.17,Brazil,,35.0,,"126,256",12/31/2016,34,"266,518",2016.0,209568.0,87.0
4054,266961.0,12/31/2016,127.39,Brazil,,36.0,,"126,417",12/31/2016,35,"266,961",2016.0,209568.0,88.0
4123,267371.0,12/31/2016,127.58,Brazil,,37.0,,"126,573",12/31/2016,36,"267,371",2016.0,209568.0,89.0
4172,267777.0,12/31/2016,127.78,Brazil,,38.0,,"126,718",12/31/2016,37,"267,777",2016.0,209568.0,90.0
4221,268114.0,12/31/2016,127.94,Brazil,,39.0,,"126,852",12/31/2016,38,"268,114",2016.0,209568.0,91.0
4270,268458.0,12/31/2016,128.1,Brazil,,40.0,,"126,945",12/31/2016,39,"268,458",2016.0,209568.0,92.0
4319,268803.0,12/31/2016,128.27,Brazil,,41.0,,"127,053",12/31/2016,40,"268,803",2016.0,209568.0,93.0
4368,269176.0,12/31/2016,128.44,Brazil,,42.0,,"127,187",12/31/2016,41,"269,176",2016.0,209568.0,94.0
4417,269612.0,12/31/2016,128.65,Brazil,,43.0,,"127,344",12/31/2016,42,"269,612",2016.0,209568.0,95.0
4466,270002.0,12/31/2016,128.84,Brazil,,44.0,,"127,488",12/31/2016,43,"270,002",2016.0,209568.0,96.0
4515,270409.0,12/31/2016,129.03,Brazil,,45.0,,"127,614",12/31/2016,44,"270,409",2016.0,209568.0,97.0
4563,270856.0,12/31/2016,129.24,Brazil,,46.0,,"127,768",12/31/2016,45,"270,856",2016.0,209568.0,98.0
4613,271265.0,12/31/2016,129.44,Brazil,,47.0,,"127,910",12/31/2016,46,"271,265",2016.0,209568.0,99.0
4662,271732.0,12/31/2016,129.66,Brazil,,48.0,,"128,060",12/31/2016,47,"271,732",2016.0,209568.0,100.0
4711,272260.0,12/31/2016,129.91,Brazil,,49.0,,"128,240",12/31/2016,48,"272,260",2016.0,209568.0,101.0
4760,272804.0,12/31/2016,130.17,Brazil,,50.0,,"128,401",12/31/2016,49,"272,804",2016.0,209568.0,102.0
4809,273276.0,12/31/2016,130.4,Brazil,,51.0,,"128,561",12/31/2016,50,"273,276",2016.0,209568.0,103.0
4858,273705.0,12/31/2016,130.6,Brazil,,52.0,,"128,706",12/31/2016,51,"273,705",2016.0,209568.0,104.0
4907,273904.0,12/31/2016,130.7,Brazil,,53.0,,"128,793",12/31/2016,52,"273,904",2016.0,209568.0,105.0
4956,273904.0,12/31/2016,130.7,Brazil,,54.0,,"128,793",12/31/2016,52,"273,904",2016.0,209568.0,106.0
4996,822.0,12/30/2017,0.39,Brazil,,2.0,,259,12/30/2017,1,822,2017.0,209288.0,107.0
6923,1702.0,12/30/2017,0.81,Brazil,,3.0,,540,12/30/2017,2,"1,702",2017.0,209288.0,108.0
6964,2649.0,12/30/2017,1.27,Brazil,,4.0,,857,12/30/2017,3,"2,649",2017.0,209288.0,109.0
7005,3735.0,12/30/2017,1.78,Brazil,,5.0,,"1,201",12/30/2017,4,"3,735",2017.0,209288.0,110.0
7046,4850.0,12/30/2017,2.32,Brazil,,6.0,,"1,566",12/30/2017,5,"4,850",2017.0,209288.0,111.0
7088,6007.0,12/30/2017,2.87,Brazil,,7.0,,"2,015",12/30/2017,6,"6,007",2017.0,209288.0,112.0
7129,7103.0,12/30/2017,3.39,Brazil,,8.0,,"2,441",12/30/2017,7,"7,103",2017.0,209288.0,113.0
5036,7975.0,12/30/2017,3.81,Brazil,,9.0,,"2,749",12/30/2017,8,"7,975",2017.0,209288.0,114.0
5078,9014.0,12/30/2017,4.31,Brazil,,10.0,,"3,147",12/30/2017,9,"9,014",2017.0,209288.0,115.0
5119,10172.0,12/30/2017,4.86,Brazil,,11.0,,"3,576",12/30/2017,10,"10,172",2017.0,209288.0,116.0
5160,11423.0,12/30/2017,5.46,Brazil,,12.0,,"4,025",12/30/2017,11,"11,423",2017.0,209288.0,117.0
5201,12675.0,12/30/2017,6.06,Brazil,,13.0,,"4,471",12/30/2017,12,"12,675",2017.0,209288.0,118.0
5242,13927.0,12/30/2017,6.65,Brazil,,14.0,,"4,927",12/30/2017,13,"13,927",2017.0,209288.0,119.0
5283,15113.0,12/30/2017,7.22,Brazil,,15.0,,"5,324",12/30/2017,14,"15,113",2017.0,209288.0,120.0
5324,16210.0,12/30/2017,7.75,Brazil,,16.0,,"5,664",12/30/2017,15,"16,210",2017.0,209288.0,121.0
5364,17305.0,12/30/2017,8.27,Brazil,,17.0,,"5,996",12/30/2017,16,"17,305",2017.0,209288.0,122.0
5405,18344.0,12/30/2017,8.76,Brazil,,18.0,,"6,271",12/30/2017,17,"18,344",2017.0,209288.0,123.0
5446,19524.0,12/30/2017,9.33,Brazil,,19.0,,"6,573",12/30/2017,18,"19,524",2017.0,209288.0,124.0
5488,20560.0,12/30/2017,9.82,Brazil,,20.0,,"6,838",12/30/2017,19,"20,560",2017.0,209288.0,125.0
5529,21577.0,12/30/2017,10.31,Brazil,,21.0,,"7,080",12/30/2017,20,"21,577",2017.0,209288.0,126.0
5558,22548.0,12/30/2017,10.77,Brazil,,22.0,,"7,326",12/30/2017,21,"22,548",2017.0,209288.0,127.0
5599,23431.0,12/30/2017,11.2,Brazil,,23.0,,"7,539",12/30/2017,22,"23,431",2017.0,209288.0,128.0
5640,24202.0,12/30/2017,11.56,Brazil,,24.0,,"7,741",12/30/2017,23,"24,202",2017.0,209288.0,129.0
5681,24798.0,12/30/2017,11.85,Brazil,,25.0,,"7,882",12/30/2017,24,"24,798",2017.0,209288.0,130.0
5722,25314.0,12/30/2017,12.1,Brazil,,26.0,,"8,007",12/30/2017,25,"25,314",2017.0,209288.0,131.0
5763,25807.0,12/30/2017,12.33,Brazil,,27.0,,"8,111",12/30/2017,26,"25,807",2017.0,209288.0,132.0
5803,26177.0,12/30/2017,12.51,Brazil,,28.0,,"8,191",12/30/2017,27,"26,177",2017.0,209288.0,133.0
5846,26548.0,12/30/2017,12.68,Brazil,,29.0,,"8,277",12/30/2017,28,"26,548",2017.0,209288.0,134.0
5887,26867.0,12/30/2017,12.84,Brazil,,30.0,,"8,350",12/30/2017,29,"26,867",2017.0,209288.0,135.0
5928,27153.0,12/30/2017,12.97,Brazil,,31.0,,"8,410",12/30/2017,30,"27,153",2017.0,209288.0,136.0
5969,27440.0,12/30/2017,13.11,Brazil,,32.0,,"8,481",12/30/2017,31,"27,440",2017.0,209288.0,137.0
6010,27701.0,12/30/2017,13.24,Brazil,,33.0,,"8,523",12/30/2017,32,"27,701",2017.0,209288.0,138.0
6051,27949.0,12/30/2017,13.35,Brazil,,34.0,,"8,569",12/30/2017,33,"27,949",2017.0,209288.0,139.0
6092,28180.0,12/30/2017,13.46,Brazil,,35.0,,"8,621",12/30/2017,34,"28,180",2017.0,209288.0,140.0
6145,28388.0,12/30/2017,13.56,Brazil,,36.0,,"8,655",12/30/2017,35,"28,388",2017.0,209288.0,141.0
6186,28559.0,12/30/2017,13.65,Brazil,,37.0,,"8,689",12/30/2017,36,"28,559",2017.0,209288.0,142.0
6227,28769.0,12/30/2017,13.75,Brazil,,38.0,,"8,726",12/30/2017,37,"28,769",2017.0,209288.0,143.0
6268,28982.0,12/30/2017,13.85,Brazil,,39.0,,"8,750",12/30/2017,38,"28,982",2017.0,209288.0,144.0
6309,29151.0,12/30/2017,13.93,Brazil,,40.0,,"8,776",12/30/2017,39,"29,151",2017.0,209288.0,145.0
6350,29379.0,12/30/2017,14.04,Brazil,,41.0,,"8,824",12/30/2017,40,"29,379",2017.0,209288.0,146.0
6391,29586.0,12/30/2017,14.14,Brazil,,42.0,,"8,852",12/30/2017,41,"29,586",2017.0,209288.0,147.0
6432,29808.0,12/30/2017,14.24,Brazil,,43.0,,"8,879",12/30/2017,42,"29,808",2017.0,209288.0,148.0
6473,29980.0,12/30/2017,14.32,Brazil,,44.0,,"8,910",12/30/2017,43,"29,980",2017.0,209288.0,149.0
6514,30193.0,12/30/2017,14.43,Brazil,,45.0,,"8,937",12/30/2017,44,"30,193",2017.0,209288.0,150.0
6554,30413.0,12/30/2017,14.53,Brazil,,46.0,,"8,972",12/30/2017,45,"30,413",2017.0,209288.0,151.0
6595,30634.0,12/30/2017,14.64,Brazil,,47.0,,"9,003",12/30/2017,46,"30,634",2017.0,209288.0,152.0
6636,30850.0,12/30/2017,14.74,Brazil,,48.0,,"9,038",12/30/2017,47,"30,850",2017.0,209288.0,153.0
6677,31057.0,12/30/2017,14.84,Brazil,,49.0,,"9,065",12/30/2017,48,"31,057",2017.0,209288.0,154.0
6718,31280.0,12/30/2017,14.95,Brazil,,50.0,,"9,103",12/30/2017,49,"31,280",2017.0,209288.0,155.0
6759,31495.0,12/30/2017,15.05,Brazil,,51.0,,"9,147",12/30/2017,50,"31,495",2017.0,209288.0,156.0
6800,31657.0,12/30/2017,15.13,Brazil,,52.0,,"9,185",12/30/2017,51,"31,657",2017.0,209288.0,157.0
6842,31754.0,12/30/2017,15.17,Brazil,,53.0,,"9,202",12/30/2017,52,"31,754",2017.0,209288.0,158.0
6883,31754.0,12/30/2017,15.17,Brazil,,54.0,,"9,202",12/30/2017,52,"31,754",2017.0,209288.0,159.0
