observed,tweet_count,tk_zika,tk_zikv,tk_mosquito,tk_aedes,tk_gullain_barr,tk_flavivirus,ph_account_counts,submission_count,comment_count,num_science_submissions,num_science_comments,num_zika_submissions,num_zika_comments,num_health_comments,num_health_submissions
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
173,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
737,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0
1110,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0
1244,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1234,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1379,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0
1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3003,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2088,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
834,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0
696,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
868,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1319,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
2287,2,0,0,2,0,0,0,0,6,6,0,0,0,0,0,0
4151,169,3,0,176,1,0,0,0,8,8,0,0,0,0,0,1
4800,158,5,0,158,1,0,0,0,19,19,0,0,0,0,0,0
4289,221,7,0,221,1,0,0,0,11,11,1,0,0,0,0,0
3633,192,5,1,196,1,0,0,0,11,11,1,0,0,0,0,1
1572,228,11,1,231,5,0,0,0,12,12,0,0,0,0,0,1
0,216,11,0,223,0,0,0,0,20,20,2,1,0,0,0,0
8740,185,18,0,188,2,0,0,0,35,35,2,10,0,0,1,4
8918,254,109,0,184,1,0,0,0,103,103,3,1,0,0,6,10
10043,342,204,3,193,12,0,0,0,393,393,2,0,0,0,1,20
10949,1414,1202,3,413,7,0,0,0,1833,1833,23,12,50,11,1,85
13419,2485,2322,6,529,18,0,1,3,2491,2491,32,209,111,35,11,120
15737,1375,1197,4,364,2,0,1,2,1351,1351,19,94,95,21,4,70
21999,419,382,7,122,3,0,0,3,900,900,12,14,40,4,6,46
21450,714,570,2,237,2,0,0,0,653,653,8,1,44,6,2,37
20808,713,532,5,268,1,0,2,1,522,522,8,81,49,26,4,32
18141,723,437,4,360,1,0,1,1,400,400,11,108,48,5,0,19
16165,375,188,5,213,6,0,0,1,251,251,10,3,28,6,0,14
13337,0,0,0,0,0,0,0,0,298,298,2,6,20,10,0,19
13093,424,296,4,193,6,0,1,0,258,258,11,12,25,14,4,26
11682,673,262,1,484,4,0,0,0,251,251,6,41,19,4,1,17
10376,1092,725,5,479,10,0,1,0,558,558,20,27,27,5,3,30
8682,981,437,8,638,10,0,2,1,288,288,4,3,26,5,0,18
7621,958,531,2,539,11,0,0,2,331,331,8,2,22,3,2,23
6347,948,552,7,506,5,0,0,0,308,308,12,29,18,0,0,11
5101,1083,628,3,607,10,0,0,0,377,377,20,13,13,1,0,16
4171,1539,1088,4,597,1,0,0,0,465,465,6,5,21,4,3,27
3034,1824,974,1,1168,4,0,0,2,470,470,7,9,24,5,5,20
2947,2089,919,5,1332,3,0,1,0,456,456,5,124,27,3,1,24
2536,2042,946,2,1284,5,0,0,2,584,584,10,138,14,4,2,24
1920,1509,530,0,1095,2,0,3,5,429,429,3,2,17,2,3,23
1561,2069,1040,1,1227,9,0,0,1,634,634,11,81,22,1,2,30
1327,1923,1010,1,1067,1,0,0,4,606,606,18,44,18,3,14,37
1164,1802,675,3,1245,2,0,1,6,341,341,2,10,10,0,5,26
1001,1732,796,2,1087,3,0,0,5,415,415,6,9,12,5,8,17
936,1743,775,2,1128,4,0,0,8,431,431,6,9,21,12,4,26
753,2412,1465,2,1277,4,0,1,6,806,806,10,12,29,2,0,22
753,5453,4473,1,1702,19,0,2,5,1380,1380,12,13,32,12,10,56
703,3439,2516,1,1307,6,0,0,11,852,852,13,66,25,8,2,29
606,2634,1721,2,1201,4,0,1,7,774,774,11,41,24,10,5,46
498,2456,1655,2,1097,7,0,0,3,787,787,5,7,28,13,1,40
443,2090,1337,5,1054,6,0,1,2,1019,1019,13,41,30,7,2,31
410,2448,1779,1,917,6,0,0,0,690,690,7,192,24,4,11,30
406,1302,764,1,683,1,0,0,0,358,358,2,5,8,3,2,12
337,1266,683,1,722,5,0,1,4,184,184,3,2,3,0,0,9
344,899,486,4,485,2,0,0,1,317,317,5,52,11,2,0,8
345,772,295,1,545,3,0,1,11,193,193,12,44,9,1,0,15
373,603,239,0,397,2,0,0,0,181,181,2,4,10,3,0,4
436,597,218,3,432,5,0,0,0,151,151,1,0,6,1,0,7
390,496,197,3,338,0,0,3,0,189,189,2,4,3,2,0,10
407,412,177,0,273,2,0,0,0,227,227,11,63,2,0,2,6
447,324,141,0,201,0,0,0,0,224,224,5,1,3,1,3,5
409,353,184,2,209,0,0,1,0,334,334,5,1,7,1,0,8
467,260,107,1,163,3,0,0,0,256,256,4,3,4,0,1,7
528,327,240,1,120,0,0,0,0,280,280,1,3,4,1,0,9
544,220,143,0,115,1,0,0,0,196,196,2,5,5,1,1,4
472,294,201,3,117,1,0,0,1,237,237,8,4,10,2,0,4
429,207,98,0,127,1,0,1,0,143,143,7,12,3,1,0,2
199,226,93,0,145,2,0,0,0,121,121,1,1,2,1,0,4
0,224,93,1,143,0,0,0,0,74,74,2,1,2,0,1,2
822,209,82,1,136,1,0,0,0,83,83,3,0,1,0,0,1
880,181,68,0,125,0,0,0,1,78,78,3,3,5,2,0,3
947,142,64,3,83,0,0,0,0,50,50,1,2,1,1,1,1
1086,159,69,0,98,0,0,0,0,102,102,1,2,2,1,0,1
1115,210,75,1,150,1,0,0,0,57,57,2,2,2,1,0,1
1157,233,67,5,173,2,0,0,0,72,72,3,13,5,1,0,0
1096,269,60,1,224,0,0,0,0,90,90,2,18,12,11,0,3
872,289,135,1,172,4,0,0,1,99,99,5,18,7,2,0,2
1039,242,71,2,186,1,0,1,0,156,156,1,4,2,1,0,5
1158,219,52,0,172,1,0,0,0,106,106,0,1,1,1,0,1
1251,318,59,2,275,2,0,0,0,53,53,5,2,3,0,0,1
1252,408,124,10,295,2,0,3,0,199,199,5,1,2,3,1,5
1252,291,104,0,210,1,0,0,0,210,210,3,2,7,11,0,6
1186,323,78,0,277,4,0,0,0,69,69,2,2,1,0,0,1
1097,385,119,4,316,8,0,0,0,131,131,4,65,6,3,1,2
1095,349,133,2,257,5,0,0,1,86,86,1,1,6,1,0,3
1039,372,134,2,279,0,0,0,0,111,111,4,0,3,1,0,1
1180,327,87,2,268,1,0,0,0,126,126,2,1,5,4,0,1
1036,343,64,1,302,3,0,0,0,117,117,2,0,2,3,0,3
1017,481,105,0,416,0,0,0,0,237,237,2,0,5,1,0,7
971,768,204,2,596,3,0,7,0,175,175,3,11,3,0,0,4
883,629,102,0,562,1,0,1,0,165,165,1,3,6,4,0,3
771,375,60,1,344,2,0,0,0,121,121,6,8,1,1,0,0
596,277,30,1,268,0,0,1,0,119,119,2,2,3,2,0,2
516,575,61,2,547,2,0,0,0,80,80,1,89,0,0,0,0
493,1067,62,0,1058,1,0,0,0,40,40,0,0,1,0,0,1
370,768,54,0,747,1,0,1,0,162,162,1,2,1,0,0,2
371,743,64,1,716,0,0,0,0,80,80,0,1,1,1,0,0
319,694,60,0,673,1,0,0,0,89,89,1,1,3,2,0,1
286,724,88,1,690,3,0,0,2,106,106,0,9,0,0,0,0
287,539,34,0,537,3,0,0,0,66,66,0,0,0,1,0,0
261,613,36,0,612,0,0,0,1,54,54,0,0,2,2,0,0
248,555,46,0,545,6,0,0,0,58,58,2,2,3,5,0,1
231,589,55,1,569,3,0,0,0,32,32,0,1,2,1,1,1
208,352,41,1,330,1,0,0,0,148,148,9,5,2,2,0,2
171,442,28,2,436,3,0,0,0,33,33,0,2,3,6,0,0
210,399,53,0,373,2,0,0,1,33,33,2,3,4,2,1,0
213,354,51,0,327,2,0,0,1,104,104,7,4,1,1,0,0
169,312,35,3,297,2,0,0,0,122,122,1,0,2,1,0,1
228,216,12,1,215,1,0,0,0,52,52,1,24,0,0,0,0
207,244,19,1,235,0,0,0,2,25,25,0,3,3,1,0,0
222,218,23,3,201,1,0,0,0,26,26,1,0,0,0,0,0
172,207,38,0,187,1,0,1,0,30,30,0,3,1,1,0,0
213,239,32,3,206,2,0,2,1,88,88,0,1,1,2,0,0
220,166,16,2,155,1,0,0,0,56,56,3,3,0,0,0,0
221,119,24,0,98,3,0,0,0,24,24,1,1,0,0,0,0
216,119,16,1,101,2,0,0,0,26,26,0,0,0,0,0,0
207,72,12,0,62,5,0,0,0,47,47,2,0,0,0,0,0
223,105,27,1,77,2,0,1,0,69,69,1,8,1,0,0,3
215,89,16,1,81,1,0,1,0,33,33,0,1,0,0,0,1
162,78,17,0,68,0,0,0,0,35,35,0,2,0,0,0,1
